internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
162521,Sepiolina nipponensis,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE,Sepiolina,nipponensis,,,,,"(Berry, 1911)",This species has a disjunct population distribution and may consist of more than one species   (Reid and Jereb 2005).
162522,Sepia elongata,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,elongata,,,,,"d'Orbigny, 1839-1842 (in Férussac &amp; d'Orbigny 1834-1848)","This species was originally described from the cuttlebone but was subsequently redescribed from the whole animal (Adam 1955, Adam & Rees 1966)."
162523,Rossia macrosoma,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE,Rossia,macrosoma,,,,,"(Chiaie, 1830)",
162524,Sepia vietnamica,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,vietnamica,,,,,"Khromov, 1987",
162525,Sepia saya,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,saya,,,,,"Khromov, Nikitina &amp; Nesis, 1991",
162526,Idiosepius thailandicus,ANIMALIA,MOLLUSCA,CEPHALOPODA,IDIOSEPIIDA,IDIOSEPIIDAE,Idiosepius,thailandicus,,,,,"Chotiyaputta, Okutani &amp; Chaitiamvong, 1991","Nabhitabhata and Suwanamala (2008) doubted the validity of&#160;<span style=""font-style: italic;"">Idiosepius thailandicus</span> because of its ability to cross-breed with <span style=""font-style: italic;"">I. biserialis</span> from Thailand.&#160; However, Reid (2005) previously disputed that <span style=""font-style: italic;"">I. biserialis</span> from Thailand actually referred to this species, suggesting that these specimens actually refer to <span style=""font-style: italic;"">I. thailandicus</span>. Therefore we treat specimens from the IndoWest Pacific region with two rows of suckers on the tentacular clubs as <span style=""font-style: italic;"">I. thailandicus</span> and treat this as a valid distinct species from <span style=""font-style: italic;"">I. minimus</span> which we believe to be the senior synonym of <span style=""font-style: italic;"">I. biserialis</span> and which we believe is restricted in its distribution to the east coast of Africa."
162527,Sepiadarium kochi,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIADARIIDAE,Sepiadarium,kochi,,,,,"Steenstrup, 1881",
162528,Sepiella weberi,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepiella,weberi,,,,,"Adam, 1939",
162529,Rossia bullisi,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE,Rossia,bullisi,,,,,"Voss, 1956",
162530,Sepiadarium nipponianum,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIADARIIDAE,Sepiadarium,nipponianum,,,,,"Berry, 1932",
162532,Sepia dubia,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,dubia,,,,,"Adam &amp; Rees, 1966","This species is insufficiently described (Khromov <span style=""font-style: italic;"">et al.</span> 1998).&#160; It is one of five species in the Hemisepius species complex, the others being <span style=""font-style: italic;"">S. robsoni</span>, <span style=""font-style: italic;"">S. pulchra</span>, <span style=""font-style: italic;"">S. faurei</span> and <span style=""font-style: italic;"">S. typica</span>.&#160;&#160;&#160; All five species are small (about 2 cm mantle length) and are found off South Africa."
162533,Sepia vossi,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,vossi,,,,,"Khromov, 1996",
162535,Sepia omani,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,omani,,,,,"Adam &amp; Rees, 1966","Misidentifications with <em>Sepia vossi</em> Khromov, 1996 (Reid <span style=""font-style: italic;"">et al.</span>  2005)."
162536,Heteroteuthis dagamensis,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE,Heteroteuthis,dagamensis,,,,,"Robson, 1924","There are considerable taxonomic problems within the <span style=""font-style: italic;"">Heteroteuthinae</span>. Vecchione <span style=""font-style: italic;"">et al. </span>(2007) treat <span style=""font-style: italic;"">H. serventyi</span> as a junior synonym of this species. We follow this herein."
162537,Euprymna phenax,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE,Euprymna,phenax,,,,,"Voss, 1962",The taxonomy of this genus remains unresolved   (Reid and Jereb 2005).
162538,Metasepia tullbergi,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Metasepia,tullbergi,,,,,"(Appellöf, 1886)",
162539,Sepiola affinis,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIOLIDA,SEPIOLIDAE,Sepiola,affinis,,,,,"Naef, 1912",
162540,Sepia tenuipes,ANIMALIA,MOLLUSCA,CEPHALOPODA,SEPIIDA,SEPIIDAE,Sepia,tenuipes,,,,,"Sasaki, 1929",
