assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
908776,162523,Rossia macrosoma,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Rossia,macrosoma,,,,"(Chiaie, 1830)",Data Deficient,,3.1,Unknown,Global
909251,162524,Sepia vietnamica,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,vietnamica,,,,"Khromov, 1987",Data Deficient,,3.1,Unknown,Global
909453,162525,Sepia saya,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,saya,,,,"Khromov, Nikitina &amp; Nesis, 1991",Data Deficient,,3.1,Unknown,Global
909581,162526,Idiosepius thailandicus,ANIMALIA,MOLLUSCA,IDIOSEPIIDA,CEPHALOPODA,IDIOSEPIIDAE,Idiosepius,thailandicus,,,,"Chotiyaputta, Okutani &amp; Chaitiamvong, 1991",Data Deficient,,3.1,Unknown,Global
909765,162527,Sepiadarium kochi,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIADARIIDAE,Sepiadarium,kochi,,,,"Steenstrup, 1881",Least Concern,,3.1,Unknown,Global
910154,162528,Sepiella weberi,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepiella,weberi,,,,"Adam, 1939",Data Deficient,,3.1,Unknown,Global
910328,162529,Rossia bullisi,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Rossia,bullisi,,,,"Voss, 1956",Data Deficient,,3.1,Unknown,Global
910475,162530,Sepiadarium nipponianum,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIADARIIDAE,Sepiadarium,nipponianum,,,,"Berry, 1932",Data Deficient,,3.1,Unknown,Global
910702,162532,Sepia dubia,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,dubia,,,,"Adam &amp; Rees, 1966",Data Deficient,,3.1,Unknown,Global
910843,162533,Sepia vossi,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,vossi,,,,"Khromov, 1996",Data Deficient,,3.1,Unknown,Global
911013,162535,Sepia omani,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,omani,,,,"Adam &amp; Rees, 1966",Least Concern,,3.1,Unknown,Global
911229,162536,Heteroteuthis dagamensis,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Heteroteuthis,dagamensis,,,,"Robson, 1924",Data Deficient,,3.1,Unknown,Global
911356,162537,Euprymna phenax,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Euprymna,phenax,,,,"Voss, 1962",Data Deficient,,3.1,Unknown,Global
911484,162538,Metasepia tullbergi,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Metasepia,tullbergi,,,,"(Appellöf, 1886)",Data Deficient,,3.1,Unknown,Global
911853,162539,Sepiola affinis,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Sepiola,affinis,,,,"Naef, 1912",Data Deficient,,3.1,Unknown,Global
912120,162540,Sepia tenuipes,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,tenuipes,,,,"Sasaki, 1929",Data Deficient,,3.1,Unknown,Global
912308,162541,Sepia mascarensis,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,mascarensis,,,,"Filippova &amp; Khromov, 1991",Data Deficient,,3.1,Unknown,Global
912464,162542,Sepia bartletti,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,bartletti,,,,"(Iredale, 1954)",Data Deficient,,3.1,Unknown,Global
912594,162543,Nectoteuthis pourtalesi,ANIMALIA,MOLLUSCA,SEPIOLIDA,CEPHALOPODA,SEPIOLIDAE,Nectoteuthis,pourtalesi,,,,"Verrill, 1883",Data Deficient,,3.1,Unknown,Global
912737,162544,Sepia mira,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,mira,,,,"(Cotton, 1932)",Least Concern,,3.1,Unknown,Global
912889,162545,Sepia tuberculata,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,tuberculata,,,,"Lamarck, 1798",Data Deficient,,3.1,Unknown,Global
913028,162547,Idiosepius notoides,ANIMALIA,MOLLUSCA,IDIOSEPIIDA,CEPHALOPODA,IDIOSEPIIDAE,Idiosepius,notoides,,,,"Berry, 1921",Data Deficient,,3.1,Unknown,Global
913229,162548,Sepiella japonica,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepiella,japonica,,,,"Sasaki, 1929",Data Deficient,,3.1,Unknown,Global
913525,162549,Sepia orbignyana,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,orbignyana,,,,"Férussac in d'Orbigny, 1826",Data Deficient,,3.1,Unknown,Global
913995,162550,Sepiadarium austrinum,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIADARIIDAE,Sepiadarium,austrinum,,,,"Berry, 1921",Data Deficient,,3.1,Unknown,Global
914143,162551,Sepia faurei,ANIMALIA,MOLLUSCA,SEPIIDA,CEPHALOPODA,SEPIIDAE,Sepia,faurei,,,,"Roeleveld, 1972",Data Deficient,,3.1,Unknown,Global
