https://www.fao.org/fishery/statistics-query/en/gfcm_capture/gfcm_capture_quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name En,ASFIS species Name En,Unit Name,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag,2015,2015 Flag,2014,2014 Flag,2013,2013 Flag,2012,2012 Flag,2011,2011 Flag,2010,2010 Flag,2009,2009 Flag,2008,2008 Flag,2007,2007 Flag,2006,2006 Flag,2005,2005 Flag,2004,2004 Flag,2003,2003 Flag,2002,2002 Flag,2001,2001 Flag,2000,2000 Flag,1999,1999 Flag,1998,1998 Flag,1997,1997 Flag,1996,1996 Flag,1995,1995 Flag,1994,1994 Flag,1993,1993 Flag,1992,1992 Flag,1991,1991 Flag,1990,1990 Flag
Bulgaria,Atlantic bonito,Tonnes - live weight,31.54,,4,,23,,13,,68,,8,,6,,6,,96,,8,,16,,5,,16,,1,,8,,56,,18,,23,,0,,49,,35,,20,,51,,16,,33,,25,,0,M,8,,12,,15,,17,
Bulgaria,Atlantic mackerel,Tonnes - live weight,,,0,,0,,0,,0,,0,,0,,0,,0,N,0,N,0,N,0,N,0,N,1,,0,,0,,0,,1,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Bulgaria,Beluga,Tonnes - live weight,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,3,,1,,4,,0,N,1,,10,,12,,11,,5,,4,,0,,0,,0,,0,,0,
Bulgaria,Big-scale sand smelt,Tonnes - live weight,,,0,,0,,10,,50,,9,,58,,10,,28,,16,,27,,14,,2,,9,,1,,1,,1,,0,N,0,N,2,,21,,1,,0,N,0,,0,,0,,0,,0,,0,,0,,0,
Bulgaria,Bluefish,Tonnes - live weight,253.2,,24,,261,,71,,712,,139,,305,,49,,553,,29,,63,,53,,25,,8,,8,,83,,5,,18,,102,,2,,18,,8,,10,,12,,10,,12,,8,,8,,4,,10,,6,
Bulgaria,Common shrimp,Tonnes - live weight,0.86,,0,N,1,,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M,0,M
Bulgaria,Common sole,Tonnes - live weight,0,N,0,,0,N,0,N,0,,0,,0,,0,,0,,0,N,0,N,0,N,0,N,0,N,0,N,0,N,3,,9,,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Bulgaria,Common stingray,Tonnes - live weight,1.8,,3,,1,,1,,0,N,6,,3,,2,,7,,4,,7,,2,,2,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Bulgaria,Danube sturgeon(=Osetr),Tonnes - live weight,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,2,,0,,0,,2,,2,,2,,0,N,1,,0,,0,,0,,0,,0,
Bulgaria,European anchovy,Tonnes - live weight,422.24,,71,,5,,4,,53,,12,,370,,10,,9,,18,,65,,42,,28,,60,,6,,14,,88,,131,,237,,102,,64,,36,,48,,44,,23,,35,,0,M,0,M,0,M,0,M,0,M
Bulgaria,European flounder,Tonnes - live weight,0.11,,0,N,0,N,0,,0,N,0,N,0,,0,N,9,,0,N,0,N,0,N,0,N,0,,0,N,0,,2,,1,,9,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Bulgaria,European pilchard(=Sardine),Tonnes - live weight,,,0,N,0,N,0,N,1,,1,,1,,1,,5,,4,,8,,3,,0,N,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Bulgaria,European seabass,Tonnes - live weight,0,,0,N,0,,0,,0,,0,,0,,0,N,0,,0,N,0,,0,N,0,,0,N,0,N,0,,1,,0,N,11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Bulgaria,European sprat,Tonnes - live weight,1622.65,,4585,,3188,,3189,,2296,,3301,,2279,,3794,,2830,,3958,,4041,,4551,,4310,,2985,,2655,,2575,,2889,,9155,,11595,,695,,1737,,3595,,3275,,3646,,3535,,2874,,2200,,2174,,2353,,2710,,2651,
Bulgaria,Flathead grey mullet,Tonnes - live weight,3.9,,3,,4,,3,,9,,10,,16,,9,,25,,15,,19,,11,,9,,6,,11,,6,,18,,33,,71,,47,,15,,14,,11,,28,,26,,23,,0,M,0,M,0,M,0,M,0,M
Bulgaria,Garfish,Tonnes - live weight,6.04,,4,,3,,3,,4,,5,,3,,5,,3,,5,,4,,5,,4,,3,,0,N,2,,4,,8,,37,,16,,9,,4,,4,,2,,2,,0,,0,,0,,0,,0,,0,
