"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"France","FRA","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.16684852","45.0457953940979","45.0457953940979","48.92877","50.35653","49.82694626",
"Faroe Islands","FRO","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.010872809","0.0108312493723335","0.0108312493723335","0.010831","0.010831","0.010831232",
"Micronesia, Fed. Sts.","FSM","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.017563565","0.0157723799070518","0.0157723799070518","0.015772","0.015772","0.01577238",
"Gabon","GAB","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.968998765","28.8271766191915","28.8271766191915","28.82714","28.82714","28.82713699",
"United Kingdom","GBR","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.23542286","28.8733055538075","28.8733055538075","29.16274","44.20283","44.20282745",
"Georgia","GEO","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.667918104","0.667756100327337","0.667756100327337","0.667756","0.667756","0.667755842",
"Ghana","GHA","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.092609498","0.0974062095921647","0.0974062095921647","0.097406","0.096692","0.09669181",
"Gibraltar","GIB","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.889618","12.8217275107356","12.8217275107356","12.82936","0","0",
"Guinea","GIN","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.529344095","0.529571455146597","0.529571455146597","0.52957","0.52957","0.52972877",
"Gambia, The","GMB","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.070343584","0.0696771265532355","0.0696771265532355","0.069679","0.60384","0.603840232",
"Guinea-Bissau","GNB","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.00970832","10.0094124457438","10.0094124457438","10.00945","8.988976","8.988976479",
"Equatorial Guinea","GNQ","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.235206631","0.235115094159034","0.235115094159034","0.235115","0.235115","0.235114738",
"Greece","GRC","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.457183473","4.51786536462105","4.51786536462105","4.517861","4.517863","4.51787138",
"Grenada","GRD","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.041854536","0.0862502716404704","0.0862502716404704","0.086252","0.098036","0.098035686",
"Greenland","GRL","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.518723191","4.51873918534929","4.51873918534929","4.51875","4.515592","4.513874531",
"Guatemala","GTM","Marine protected areas (% of territorial waters)","ER.MRN.PTMR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.807866388","0.900143643771587","0.900143643771587","0.900141","0.805985","0.805985153",
