DATAFLOW,LAST UPDATE,freq,indic_env,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2004,101,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2005,2423,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2006,303,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2007,25342,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2008,505,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2009,101,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2010,7875,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2011,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2012,1716,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2013,909,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2014,303,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2015,16256,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2016,1817,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2017,0,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2018,27362,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2019,5856,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2020,4140,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2021,9188,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,ES,2022,6058,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EU_V,2000,21225,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EU_V,2001,75836,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EU_V,2002,179039,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EU_V,2003,20531,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EU_V,2004,1042,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EU_V,2005,12341,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EU_V,2006,527,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EU_V,2007,45550,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EU_V,2008,42036,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EU_V,2009,3559,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EU_V,2010,11370,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EU_V,2011,11637,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EU_V,2012,11228,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EU_V,2013,5284,
ESTAT:SDG_14_60(1.0),13/03/23 23:00:00,A,MA_ETR,KM2,EU_V,2014,4457,
