Country,Year,nitro,phospho,eutro,wasteG,wasteR,mspVal,ohiBio,co2,phCopernicus,fmsyF,bBmsy,kbaMPA,natura2kEEZ,fseRiskkRatio,tacCatch,compositeIUU,fteCoastalPop,gvaHoursW,economies,gvaNights,oResearch,sadTac,ohiArt,threatenedFish,imoRatedf
Ireland,2017,22.578919208132696,0.865800865800866,100.0,,77.8557114228457,,57.54,41.21535512777204,,,,76.54297,,12.88246205511426,,,10.895834451628716,20.837172920967546,67.67637700354189,,100.0,,72.47,,
Ireland,2018,,,100.0,24.242424242424242,95.89178356713427,,57.36,41.4357015289237,,,,77.79872,,21.919322307474673,,,11.789860671945952,20.811872610810443,72.83440907787697,87.12259649497966,,,73.46,,
Ireland,2019,,,100.0,,97.2945891783567,,57.37,43.776497388052796,,,,83.13714,8.004733369395614,,,58.86679147042513,11.299952823577613,20.508017933743577,15.190193654139787,71.82045084710798,,,73.34,,
Ireland,2020,,,100.0,20.0,100.0,,57.61,49.61587047768165,,,,83.16451,,,,,8.990205788533121,22.363955780321955,28.923978717969305,100.0,,,73.1,,
Ireland,2021,,,100.0,,,,57.61,46.737264931130525,75.42095026671478,,,83.16451,8.005513938227345,,,70.9521432613696,,,,,,,73.46,,68.62745098039215
Ireland,2022,,,16.666666666666668,,,100.0,57.61,,,86.77033004182489,89.825423785472,83.16451,,,97.97141681858899,,,,,,,75.7530580768692,73.52,91.8859649122807,
Latvia,2012,58.611111111111114,20.000000000000004,11.111111111111112,72.72727272727273,38.77755511022045,50.0,63.25,93.96536360378335,57.80201788101624,94.3185416763648,97.5646853595945,96.16348,20.31531054914824,,99.38941931680651,,23.222018758079177,7.777087312305331,97.4115796910076,38.80903868155219,,91.7156038649842,87.4,77.27272727272728,80.3921568627451
Latvia,2013,50.782190132370644,6.666666666666668,14.285714285714285,,36.07214428857716,,58.62,94.63707410773658,,,,96.1636,,,,,34.37483661174614,8.258606185573116,69.8387776996992,100.0,,,88.03,,
Latvia,2014,50.599520383693054,10.000000000000002,6.666666666666667,66.66666666666666,39.078156312625254,,57.72,96.47067928593464,,,,96.1636,,3.8718286625983827,,,33.48855072496717,8.385443149636618,38.10518399676671,68.23298376957855,,,88.28,,
Latvia,2015,50.23809523809525,10.000000000000002,6.666666666666667,,39.27855711422846,,54.95,94.71754053786609,,,,96.1636,,6.228150369957965,,,29.83592106231913,8.707920448301573,40.99068231899378,70.26837809407908,,,88.49,,
Latvia,2016,55.38057742782153,28.57142857142858,7.6923076923076925,25.0,41.883767535070135,50.0,54.75,93.97219061589381,64.68312595766854,89.4061092936961,99.5654121376881,96.1636,51.57596491846836,100.0,99.00809697473369,,26.817884813877015,8.912797287454879,2.19656243675748,53.73653309254045,,82.5413150724961,88.85,87.8048780487805,80.3921568627451
Latvia,2017,63.36336336336337,14.28571428571429,3.8461538461538463,,41.28256513026052,,53.86,92.34338440575591,,,,96.1636,,5.0518900132873314,,,30.5799262860085,8.876983193032673,48.351511928757766,51.579594697509556,,,88.94,,
Latvia,2018,53.28282828282829,5.405405405405406,2.7027027027027026,17.391304347826086,50.901803607214426,,52.24,84.13181579035994,,,,96.1636,,44.427700117677794,,,32.081519177963976,9.889792298138747,96.26645105525333,49.39235676733687,,,89.29,,
Latvia,2019,,,7.6923076923076925,,46.9939879759519,,54.17,85.5277309454761,,,,96.1636,51.57596491846836,100.0,,90.29526836685847,29.921846302211502,11.740645932364414,67.92293822687182,48.40548171684691,,,89.64,,
Latvia,2020,,,5.88235294117647,13.559322033898304,47.99599198396793,,53.95,96.24772284944036,,,,96.1636,,,,,22.00859257620852,13.547465307686188,19.6105789472288,47.79577451384383,,,89.87,,
Latvia,2021,,,33.333333333333336,,,,55.15,91.68140315933495,58.923332356207546,,,96.1636,51.58772146392504,,,70.9521432613696,,,,,,,89.45,,82.3529411764706
Latvia,2022,,,100.0,,,100.0,54.94,,,81.38113434032739,97.3607826138139,96.1636,,,96.6961038687861,,,,,,,91.3244122655923,99.01,88.63636363636364,
Lithuania,2012,48.173515981735164,2.8571428571428577,50.0,47.05882352941176,38.97795591182365,50.0,61.37,76.33469820479853,56.54062436588435,91.7873072615244,92.3824830071469,65.53137,32.933255269320846,1.4981890008220515,98.1551501398332,,73.72509050032303,9.67518317098212,37.15380689550445,33.81713519609277,,96.0647112326221,88.71,77.27272727272728,58.8235294117647
Lithuania,2013,45.08547008547009,10.000000000000002,2.777777777777778,,42.985971943887776,,56.52,80.50888716081897,,,,77.52396,,1.7589739431412537,,,75.03676598803611,10.534298390549452,50.32150233114349,41.28335706045121,,,89.17,,
Lithuania,2014,56.72043010752689,20.000000000000004,6.25,32.0,51.30260521042085,,54.79,81.39023298510824,,,,77.52396,,3.011770642174275,,,78.73678821099237,13.81324378717162,89.84333104205115,35.70019875010757,,,89.48,,
Lithuania,2015,56.26666666666667,20.000000000000004,8.333333333333334,,54.90981963927856,,53.18,79.47670751615308,,,,83.51997,,7.287139640755007,,,76.09814010010612,14.862925000935078,64.86616307813948,42.694468957544416,,,89.81,,
Lithuania,2016,,,5.0,25.806451612903224,74.54909819639279,75.0,51.8,77.95138265572497,61.40430214396939,83.1260012848602,99.1919849627726,83.51997,76.25878220140515,11.7844371026272,98.0052294244491,,79.03700707636875,15.099927007253159,61.5139651460357,52.212723478329856,,84.3786737091497,89.95,87.5,62.745098039215684
Lithuania,2017,,,1.3513513513513513,,73.54709418837676,,50.77,75.75172199685586,,,,83.51997,,2.9157433892800233,,,79.6932401631784,18.26712500260719,99.9988544511741,47.66877970296463,,,90.14,,
Lithuania,2018,32.33716475095786,50.000000000000014,5.0,21.62162162162162,72.24448897795591,,50.4,73.57738089339425,,,,83.51997,,0.458029964253687,,,86.1972242519078,18.402183204336165,99.99999999999999,46.106782199209526,,,90.62,,
Lithuania,2019,,,6.25,,79.75951903807615,,52.77,71.95161808806763,,,,83.51997,76.25878220140515,1.4519918968263472,,51.24549739101663,92.12953563021371,19.122911107333433,89.75711229669679,47.93611834480114,,,90.93,,
Lithuania,2020,,,4.545454545454546,20.0,63.52705410821643,,51.89,73.78440353469246,,,,83.51997,,,,,91.06271851099,19.14413201933427,42.14057934920135,48.22226144143938,,,91.18,,
Lithuania,2021,,,7.142857142857142,,,,52.93,72.16433588406807,57.642074182341496,,,83.51997,76.25878220140515,,,54.14679097714067,,,,,,,90.81,,64.70588235294117
Lithuania,2022,,,100.0,,,100.0,53.19,,,82.901621282397,96.2548169942187,83.51997,,,95.2098011622882,,,,,,,88.91959064767579,97.63,88.37209302325581,
Netherlands,2012,8.27450980392157,6.250000000000002,100.0,23.52941176470588,98.29659318637273,100.0,54.5,34.45962211897226,76.72660818765854,85.8838037746261,92.7364419048367,93.31337,61.139783609003864,9.666848757857622,92.98630902405431,,20.941432119519707,100.0,84.17836644168905,39.66577838771789,,95.566376226418,55.01,83.13253012048193,84.31372549019608
Netherlands,2013,8.206923376118242,4.4444444444444455,2.941176470588235,,97.79559118236473,,54.67,34.63772137401868,,,,93.31337,,72.03042683521929,,,21.919950690477975,100.0,75.61549348298024,37.62081871268354,3.818245401564848,,54.66,,
Netherlands,2014,8.65108651086511,16.66666666666667,100.0,23.52941176470588,98.09619238476954,,53.81,36.188368136445284,,,,93.31337,,1.2166733460836725,,,12.424026075451952,100.0,61.60262674226938,34.834169785935146,3.6149159487908435,,54.62,,
Netherlands,2015,7.311157311157311,5.1282051282051295,100.0,,97.09418837675352,,55.1,34.91206068578856,,,,93.31337,,24.17325373366873,,,12.43631523284333,95.26297762820046,84.5469263341044,32.89436458558846,3.1369080033387045,,54.77,,
Netherlands,2016,7.232219365895459,4.255319148936171,100.0,25.806451612903224,95.99198396793587,100.0,54.24,34.83921249543936,74.92832082737705,88.2789689644613,89.8563569190934,96.6463,78.15673838245658,3.5943005295795896,95.043900329568,,12.987307439178258,64.86950676629404,21.38979717916302,40.62590756081982,3.2485248490256384,88.7610108009061,55.29,91.48936170212768,86.27450980392157
Netherlands,2017,7.728937728937729,9.090909090909092,100.0,,96.19238476953909,,54.67,35.480295093395576,,,,96.6463,,12.272899103839801,,,13.038129727368117,66.68054895829208,58.09790569963513,39.74538437785114,3.598533229327878,,56.04,,
Netherlands,2018,7.17687074829932,2.8985507246376816,33.333333333333336,24.242424242424242,94.48897795591182,,53.38,36.5101145998689,,,,96.6463,,0.9908165293868623,,,15.463898563428394,65.15871862890403,77.82895850233052,46.46351461993565,,,57.44,,
Netherlands,2019,,,100.0,,95.89178356713427,,52.95,38.03995855998939,,,,96.6463,78.15673838245658,1.5753284295473495,,46.306308239801396,15.93514399839002,59.56584418752183,79.58742941694659,45.512191617631245,,,59.02,,
Netherlands,2020,,,100.0,21.62162162162162,95.09018036072146,,55.1,43.939379629594725,,,,96.6463,,,,,15.31865817021702,46.389874967900624,40.346287887404735,31.666511198394236,,,69.41,,
Netherlands,2021,,,0.3952569169960475,,,,55.96,42.925951725521365,73.8497449914382,,,96.6463,85.27131782945737,,,51.24549739101663,,,,,,,57.98,,92.15686274509804
Netherlands,2022,,,5.555555555555556,,,100.0,55.96,,,93.83490989633671,96.7062942253112,96.6463,,,97.1585990798374,,,,,,,89.2148335720111,60.35,89.04761904761905,
Poland,2012,29.244629244629245,6.666666666666668,25.0,32.0,26.252505010020037,25.0,45.03,42.10245017505229,51.34344437992717,89.2635800356787,96.5688840098242,87.25113,80.459386743157,0.44171641450839416,99.7624083650757,,36.379925873510835,19.23739455208649,62.903197879934766,60.05720088379173,,94.9169947166006,87.82,76.92307692307692,80.3921568627451
Poland,2013,25.669099756691,6.250000000000002,5.0,,20.84168336673347,,44.46,42.63450022246489,,,,87.25113,,0.7356763127586499,,,36.115546091001995,21.333198654259586,52.70759594246646,57.61210308879764,1.2291270721232272,,87.97,,
Poland,2014,35.343383584589624,66.66666666666669,7.142857142857142,25.806451612903224,35.87174348697395,,43.4,44.24043764900977,,,,87.25113,,0.6666638360065168,,,32.86123057664352,22.825105465201865,44.64664562922229,38.51427448468836,1.3029146587799512,,71.36,,
Poland,2015,29.428172942817298,9.523809523809526,10.0,,39.77955911823648,,42.22,43.754609894520534,,,,87.25113,,0.7897811717193712,,,33.5933090399317,23.615814305949456,47.61857854209721,42.33361081603336,0.8688952177294712,,71.92,,
Poland,2016,31.897203325774758,25.000000000000007,10.0,23.52941176470588,54.90981963927856,50.0,42.39,42.24170016023881,57.362451036851034,89.5800109824968,98.1352561953272,87.25113,80.44826896137684,0.2803892065887461,98.7974926415371,,34.73728435354982,20.772319891959707,59.16069608273235,41.0723947221169,0.8534811764162678,80.7697287790955,74.67,87.23404255319149,84.31372549019608
Poland,2017,29.063360881542703,15.384615384615389,7.142857142857142,,46.09218436873748,,42.34,40.5383752379086,,,,87.25113,,0.3601388870737346,,,35.7878599800233,23.450211993556458,94.27368313191675,42.54875986543238,0.8235807907207481,,76.09,,
Poland,2018,22.761596548004317,5.000000000000001,12.5,14.545454545454545,52.104208416833664,,42.15,40.572724693831,,,,87.31556,,0.337319014247124,,,36.73039504259537,23.688540884398126,72.58091104698602,41.51385192260286,,,76.21,,
Poland,2019,,,4.761904761904763,,45.09018036072144,,42.37,42.865032560558454,,,,87.31556,80.459386743157,0.35600678435154853,,72.70773919226959,36.97659229547537,24.355913633107136,73.64973261504002,42.0595525017841,,,76.01,,
Poland,2020,,,4.545454545454546,13.559322033898304,,,42.45,45.24304169419346,,,,87.31556,,,,,35.33634198433479,27.25012952554134,80.94413487536951,27.72591639523711,,,75.03,,
Poland,2021,,,33.333333333333336,,,,42.45,41.185794749932214,52.13667131186474,,,87.31556,80.55944677917861,,,70.9521432613696,,,,,,,72.35,,86.27450980392157
Poland,2022,,,100.0,,,100.0,42.59,,,74.8534704411727,92.2843198146738,87.31556,,,94.911954019751,,,,,,,86.83308954221461,77.61,86.27450980392157,
