,Country,Year,nitro,wasteG,wasteR,scoreESD,co2pc,mpa,ohiBio,fseScore,ohiLive,ohiTour,oResearch,ohiArt,threatened,imoRatedf,plastic,14.1,14.3,14.5,14.7,14.b
80,Netherlands,2012,11.64,75.63,98.1,100.0,42.63,71.64,67.14,99.94,60.89,61.06,0.74,46.83,76.289,84.31372549019608,86.79211144127477,47.56253983640869,70.71902984176347,69.3863514110289,60.97499407543859,61.38131680294381
81,Netherlands,2013,11.01,75.63,97.6,100.0,42.88,71.64,67.09,99.94,62.19,61.31,0.74,54.12,76.289,84.31372549019608,86.54512668532888,47.08286940737952,70.85049339323203,69.36126851923147,61.74984323735413,65.10976024471
82,Netherlands,2014,14.95,75.63,97.9,100.0,46.63,71.64,66.56,99.93,62.19,57.9,0.69,54.37,76.289,84.31372549019608,86.69332423567664,49.40005445772009,72.81639726140723,69.095330494049,60.041167756511335,65.23707569960982
83,Netherlands,2015,1.61,75.63,96.9,100.0,43.73,71.64,67.04,99.95,62.19,59.44,0.6,54.59,76.289,84.31372549019608,86.19925377535473,41.13977331931267,71.29708109568,69.33618466515082,60.81344544218572,65.3490854212113
84,Netherlands,2016,0.67,78.15,95.8,100.0,43.76,71.64,66.32,99.89,62.19,59.58,0.62,55.4,76.289,84.31372549019608,86.93014019130632,40.804212492801696,71.31283217758484,68.97486981707887,60.88360131914067,65.76126242041171
85,Netherlands,2017,6.27,78.15,96.0,100.0,45.41,88.92,66.95,100.0,62.19,60.87,0.69,56.63,76.289,84.31372549019608,87.02916862571902,44.505848837273945,72.1780330213794,77.85728805715635,61.529646018590086,66.38650485678892
86,Netherlands,2018,0.0,76.47,94.3,100.0,47.76,88.92,65.53,100.0,62.19,61.17,0.69,58.65,76.289,90.19607843137254,85.33836264685502,39.50631598136268,73.40667778237918,77.13605543214163,61.67978915095756,67.41166797346891
236,Netherlands,2019,0.0,76.47,95.7,100.0,50.93,89.54,64.41,100.0,62.19,60.18,0.69,60.95,76.289,90.19607843137254,86.03117615199612,39.827045233733315,75.05777038337435,76.87192258468218,61.184174571560156,68.5765372939258
158,Netherlands,2020,0.0,73.11,94.9,100.0,58.79,89.54,66.65,99.96,62.19,59.22,0.69,75.97,76.289,90.19607843137254,83.93412141134083,38.856240256405854,79.12410102369213,78.01079007654464,60.70318344798943,76.12948329144997
478,Netherlands,2021,0.0,73.11,94.9,100.0,57.51,89.53,68.27,99.96,62.19,61.76,0.69,60.73,76.289,92.15686274509804,83.93412141134083,38.856240256405854,78.4643572987995,78.82814345254977,61.97496270665132,68.4652216819494
582,Norway,2013,,,,,,,,,,,3.858181818181819,,,,,,,,,
583,Norway,2014,,,,,,,,,,,5.77375,,,,,,,,,
584,Norway,2015,,,,,,,,,,,6.13375,,,,,,,,,
585,Norway,2016,,,,,,,,,,,15.43090909090909,,,,,,,,,
586,Norway,2017,,,,,,,,,,,12.894,,,,,,,,,
87,Poland,2012,66.2,83.19,26.2,96.72987667377147,53.21,75.24,67.41,54.66,80.23,16.68,0.21,91.75,80.15899999999999,80.3921568627451,53.909242650827466,60.0231157134976,74.64890432297013,71.31424920419448,47.307329835316494,85.9349449514157
88,Poland,2013,63.21,83.19,20.8,100.0,54.11,75.24,66.99,44.95,81.5,17.16,0.21,90.37,80.15899999999999,80.3921568627451,50.98288358045924,57.06363991370954,76.70739535366927,71.10302888420613,48.175965993908825,85.24920411817101
89,Poland,2014,69.92,78.15,35.8,100.0,56.75,75.24,66.34,36.99,81.5,17.3,0.22,67.59,80.15899999999999,80.3921568627451,56.57052853597329,63.209967689855596,78.07220383460528,70.77600268902928,48.25355275795744,73.84773202626879
90,Poland,2015,66.34,78.15,39.7,100.0,56.03,75.24,65.63,0.0,81.5,17.59,0.13,65.37,80.15899999999999,80.3921568627451,58.60473306155421,62.460385633853804,77.7003873201612,70.41859588242849,48.41410876344133,72.72685362683714
91,Poland,2016,67.99,75.63,54.8,99.34449998127756,53.55,75.24,64.34,49.16,81.5,18.12,0.13,68.64,80.15899999999999,80.3921568627451,65.13142747820775,66.5591790213164,76.098265314566,69.7686953684477,48.70699565290765,74.37718149850431
92,Poland,2017,66.07,75.63,46.0,94.2331306978649,50.6,75.24,64.38,62.04,81.5,19.12,0.12,73.12,80.15899999999999,80.3921568627451,60.63245998154341,63.34539403540778,72.08204034505721,69.78885769887208,49.25777991547985,76.63141549526559
93,Poland,2018,60.07,57.98,52.0,94.38633460222569,50.76,75.24,64.34,41.25,81.5,19.69,0.12,78.69,80.15899999999999,84.31372549019608,54.98186658643518,57.52030567261776,72.23949642081496,69.7686953684477,49.570704977681835,79.42416036990065
240,Poland,2019,60.07,57.98,45.0,97.22810058797923,54.86,75.24,65.4,35.78,81.5,19.91,0.12,77.73,80.15899999999999,84.31372549019608,51.44897445584809,55.74280695299759,75.74448144685687,70.30277235420549,49.691292313856486,78.94356575088506
159,Poland,2020,60.07,54.62,45.0,100.0,58.14,75.24,65.3,26.98,81.5,16.65,0.12,75.13,80.15899999999999,84.31372549019608,49.78673433538945,54.90426253361979,78.78918737705801,70.25240755176331,47.892894804260244,77.64042761192464
492,Poland,2021,60.07,54.62,45.0,100.0,52.37,75.24,65.14,26.98,81.5,17.81,0.12,70.97,80.15899999999999,86.27450980392157,49.78673433538945,54.90426253361979,75.80556474526794,70.17181533154046,48.53576864248938,75.55052235100824
